//物品ID,几率(1-10000),数量(别太多,可能会爆包),时间(分钟,0是无限期),是否公告(0否,1是)
5801,100,1,0,1,新娘的发带
5520,100,1,0,1,兔子耳罩[1]
18593,100,1,0,1,华丽迷你皇冠[1]
12259,500,1,0,1,幻想的灵药[绑定]
6870,20,1,0,1,+13武器精炼券
6876,20,1,0,1,+13防具精炼券
6441,1000,1,0,1,高级润滑油
2573,1,1,0,1,永恒之翼
2589,1,1,0,1,堕天使的翅膀
6469,100,5,0,1,勇士的意志5
6470,100,5,0,1,血的饥渴5
6471,100,5,0,1,亡者的寒气5
6423,100,5,0,1,海神的愤怒5
6417,1000,1,0,1,狝猴桃果实
6226,1000,1,0,1,高密度魔力之石
6635,1000,1,0,1,铁匠的祝福
7621,1500,2,0,1,不死之证*2
6238,80,1,0,1,武器精炼+11
6239,80,1,0,1,防具精炼+11
6584,50,1,0,1,武器精炼+12
6585,50,1,0,1,防具精炼+12
